taxa,bay,month,day,year,abund,male,female,repro,eph,density,volume,mean_temp_C,temp_var,conductivity,pH,hydro_days,soil,canopy,area_ha,sample_date,species,genus,family,order,class,phylum,ID_specificity,broad_group,general_diet,functional_feeding_group,diet_specifics,diet_internet_source,size_mm,size_source
Acanthocyclops robustus,78,3,19,2009,16,0,0,9,0,3.98,5969.026,12.6,20.5,29.17,4.91,365,sand,open,4.01,3/19/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,66,3,4,2010,6,0,0,0,0,2.54,7618.362,10.8,21.2,34.4,5.26,201,sand,open,11.29,3/4/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,4,3,30,2010,7,0,0,3,0,1.36,11545.353,10,14.5,40.76,5.58,211,upland,forrested,1.29,3/30/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,40,11,18,2009,8,0,0,3,0,3.26,4084.07,10.3,20.5,41.58,5.55,365,upland,open,5.26,11/18/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,40,11,11,2009,3,0,0,0,0,1.01,2984.513,10.3,20.5,41.58,5.55,365,upland,open,5.26,11/11/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,11,1,13,2010,8,0,0,4,0,1.4,5733.407,10,14.7,33.69,5.23,281,terrace,open,0.77,1/13/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,7,6,4,2009,54,0,0,17,0,29.48,5654.867,10.2,20,31.08,5.21,196,terrace,forrested,2.51,6/4/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,44,4,2,2009,6,0,0,1,0,2.32,5537.057,9.5,11.3,40.22,5.65,183.5,upland,forrested,2.02,4/2/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,80,3,31,2010,15,0,0,1,0,7.14,10053.096,9.9,16.1,40.33,4.79,151,sand,forrested,2.02,3/31/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,3,5,14,2009,6,0,0,2,0,1.68,8482.3,9.9,11.7,46.15,5.65,242.5,upland,open,5.67,5/14/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,78,2,3,2010,1,0,0,0,0,0.33,3063.053,12.6,20.5,29.17,4.91,365,sand,open,4.01,2/3/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,25,2,23,2010,2,0,0,1,0,0.81,7461.282,10.6,21.5,43.16,4.78,224.5,terrace,forrested,1.01,2/23/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,41,3,17,2010,1,0,0,0,0,0.28,3612.832,8.6,5.7,60.39,5.53,294.5,upland,forrested,0.12,3/17/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,11,5,5,2010,2,0,0,2,0,0.69,6440.265,10,14.7,33.69,5.23,281,terrace,open,0.77,5/5/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,26,5,19,2010,14,0,0,1,0,4.31,5576.327,11.1,17.2,27.49,5.05,274,terrace,open,0.49,5/19/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,4,5,7,2009,2,0,0,2,0,0.49,4084.07,10,14.5,40.76,5.58,211,upland,forrested,1.29,5/7/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,11,4,9,2009,10,0,0,2,0,2.84,6754.424,10,14.7,33.69,5.23,281,terrace,open,0.77,4/9/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,4,6,4,2009,1,0,0,1,0,0.71,1413.717,10,14.5,40.76,5.58,211,upland,forrested,1.29,6/4/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,11,10,14,2009,3,0,0,3,0,3.23,1806.416,10,14.7,33.69,5.23,281,terrace,open,0.77,10/14/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,11,6,23,2010,2,0,0,0,0,0.77,2591.814,10,14.7,33.69,5.23,281,terrace,open,0.77,6/23/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,40,3,4,2010,1,0,0,1,0,0.13,7696.902,10.3,20.5,41.58,5.55,365,upland,open,5.26,3/4/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,44,5,28,2009,23,0,0,3,0,12.98,3848.451,9.5,11.3,40.22,5.65,183.5,upland,forrested,2.02,5/28/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,78,2,11,2009,29,0,0,0,0,8.57,5105.088,12.6,20.5,29.17,4.91,365,sand,open,4.01,2/11/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,7,5,7,2009,73,0,0,6,0,47.59,6126.105,10.2,20,31.08,5.21,196,terrace,forrested,2.51,5/7/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,44,3,17,2010,1,0,0,0,0,0.16,6283.185,9.5,11.3,40.22,5.65,183.5,upland,forrested,2.02,3/17/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,80,2,18,2009,9,0,0,1,0,8.7,2905.973,9.9,16.1,40.33,4.79,151,sand,forrested,2.02,2/18/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,3,12,15,2009,2,0,0,0,0,0.45,4398.23,9.9,11.7,46.15,5.65,242.5,upland,open,5.67,12/15/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,3,3,4,2010,8,0,0,0,0,1.19,13665.928,9.9,11.7,46.15,5.65,242.5,upland,open,5.67,3/4/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,40,3,19,2009,4,0,0,0,0,1.11,6754.424,10.3,20.5,41.58,5.55,365,upland,open,5.26,3/19/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,40,2,18,2009,16,0,0,2,0,5.58,7618.362,10.3,20.5,41.58,5.55,365,upland,open,5.26,2/18/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,44,4,14,2010,1,0,0,0,0,0.17,5811.946,9.5,11.3,40.22,5.65,183.5,upland,forrested,2.02,4/14/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,9,5,30,2010,2,0,0,0,0,0.86,5654.867,9.5,11.6,53.04,4.47,245.5,terrace,open,1.74,5/30/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,26,1,29,2009,6,0,0,2,0,3.14,3926.991,11.1,17.2,27.49,5.05,274,terrace,open,0.49,1/29/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,9,4,20,2010,7,0,0,0,0,2.97,2356.194,9.5,11.6,53.04,4.47,245.5,terrace,open,1.74,4/20/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,9,7,7,2010,19,0,0,6,0,5.39,7068.583,9.5,11.6,53.04,4.47,245.5,terrace,open,1.74,7/7/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,3,2,17,2010,12,0,0,0,0,1.56,7696.902,9.9,11.7,46.15,5.65,242.5,upland,open,5.67,2/17/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,11,2,10,2010,9,0,0,3,0,1.39,10917.035,10,14.7,33.69,5.23,281,terrace,open,0.77,2/10/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,78,7,23,2009,2,0,0,1,0,0.38,5262.168,12.6,20.5,29.17,4.91,365,sand,open,4.01,7/23/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,78,2,18,2009,14,0,0,3,0,11.94,2277.654,12.6,20.5,29.17,4.91,365,sand,open,4.01,2/18/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,25,5,30,2010,4,0,0,2,0,2.54,3180.863,10.6,21.5,43.16,4.78,224.5,terrace,forrested,1.01,5/30/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,44,6,11,2009,1,0,0,0,0,0,NA,9.5,11.3,40.22,5.65,183.5,upland,forrested,2.02,6/11/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,40,2,11,2009,1,0,0,0,0,0.14,6990.044,10.3,20.5,41.58,5.55,365,upland,open,5.26,2/11/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,25,6,4,2009,6,0,0,2,0,4.81,4987.278,10.6,21.5,43.16,4.78,224.5,terrace,forrested,1.01,6/4/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,26,6,23,2010,3,0,0,0,0,1.39,4241.15,11.1,17.2,27.49,5.05,274,terrace,open,0.49,6/23/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,40,4,30,2009,1,0,0,0,0,0.25,4005.531,10.3,20.5,41.58,5.55,365,upland,open,5.26,4/30/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,25,3,30,2010,10,0,0,0,0,4.95,7382.743,10.6,21.5,43.16,4.78,224.5,terrace,forrested,1.01,3/30/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,3,4,16,2009,7,0,0,0,0,1.89,9974.557,9.9,11.7,46.15,5.65,242.5,upland,open,5.67,4/16/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,26,2,23,2010,6,0,0,0,0,4.4,7382.742,11.1,17.2,27.49,5.05,274,terrace,open,0.49,2/23/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,25,4,9,2009,16,0,0,4,0,10.19,1570.796,10.6,21.5,43.16,4.78,224.5,terrace,forrested,1.01,4/9/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,26,12,16,2009,4,0,0,0,0,1.59,2513.274,11.1,17.2,27.49,5.05,274,terrace,open,0.49,12/16/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,26,11,24,2009,6,0,0,2,0,4.29,2905.973,11.1,17.2,27.49,5.05,274,terrace,open,0.49,11/24/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,26,4,9,2009,21,0,0,2,0,8.22,4869.468,11.1,17.2,27.49,5.05,274,terrace,open,0.49,4/9/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,9,2,10,2010,1,0,0,0,0,0.34,2905.973,9.5,11.6,53.04,4.47,245.5,terrace,open,1.74,2/10/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,7,2,12,2009,68,0,0,6,0,40.24,11074.114,10.2,20,31.08,5.21,196,terrace,forrested,2.51,2/12/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,26,2,12,2009,2,0,0,1,0,1.06,1884.956,11.1,17.2,27.49,5.05,274,terrace,open,0.49,2/12/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,80,4,14,2010,6,0,0,2,0,4.18,4555.309,9.9,16.1,40.33,4.79,151,sand,forrested,2.02,4/14/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,4,7,7,2010,1,0,0,0,0,1.27,785.398,10,14.5,40.76,5.58,211,upland,forrested,1.29,7/7/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,78,6,25,2009,1,0,0,0,0,1.27,785.398,12.6,20.5,29.17,4.91,365,sand,open,4.01,6/25/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,11,1,29,2009,24,0,0,2,0,7.5,6047.566,10,14.7,33.69,5.23,281,terrace,open,0.77,1/29/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,80,3,4,2010,6,0,0,4,0,4.77,1256.637,9.9,16.1,40.33,4.79,151,sand,forrested,2.02,3/4/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,66,11,18,2009,4,0,0,2,0,1.58,5262.167,10.8,21.2,34.4,5.26,201,sand,open,11.29,11/18/09,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
Acanthocyclops robustus,7,5,19,2010,7,0,0,3,0,6.19,2277.654,10.2,20,31.08,5.21,196,terrace,forrested,2.51,5/19/10,robustus,Acanthocyclops,Cyclopidae,Cyclopoida,Copepoda,Arthropoda,species,copepod,predator,small_zooplankton,NA,UNH Image based key to NA zooplankton - Aliberti et al.,1,UNH Image based key to NA zooplankton - Aliberti et al.
